time,left_val,right_val,leftspeed,rightspeed
0.0019,669.00,683.00,12,"26
"
22,668.00,682.00,12,"26
"
25,667.00,682.00,12,"26
"
32,663.00,681.00,12,"26
"
57,663.00,690.00,12,"27
"
81,672.00,704.00,12,"27
"
107,681.00,717.00,12,"27
"
133,675.00,715.00,12,"27
"
158,665.00,707.00,12,"27
"
185,655.00,696.00,12,"27
"
210,661.00,687.00,12,"27
"
237,679.00,696.00,12,"26
"
263,706.00,720.00,12,"26
"
288,724.00,733.00,12,"26
"
315,726.00,730.00,12,"26
"
340,691.00,693.00,12,"26
"
367,617.00,622.00,12,"26
"
393,460.00,472.00,12,"26
"
418,411.00,388.00,27,"12
"
445,404.00,412.00,12,"26
"
471,431.00,437.00,12,"26
"
496,475.00,426.00,28,"11
"
523,412.00,308.00,34,"9
"
547,442.00,350.00,32,"10
"
574,440.00,334.00,34,"9
"
599,419.00,313.00,34,"9
"
623,386.00,291.00,34,"9
"
649,369.00,289.00,33,"10
"
674,389.00,326.00,31,"10
"
701,370.00,422.00,11,"29
"
727,362.00,645.00,7,"46
"
751,378.00,760.00,6,"52
"
777,367.00,805.00,5,"57
"
801,333.00,723.00,5,"56
"
826,326.00,368.00,11,"29
"
852,357.00,271.00,34,"9
"
877,394.00,327.00,31,"10
"
904,697.00,315.00,57,"5
"
928,834.00,405.00,53,"6
"
953,817.00,383.00,55,"6
"
978,824.00,420.00,51,"6
"
1003,829.00,396.00,54,"6
"
1029,835.00,427.00,50,"6
"
1055,816.00,459.00,46,"7
"
1081,590.00,470.00,32,"10
"
1108,478.00,454.00,27,"12
"
1135,385.00,377.00,26,"12
"
1162,395.00,349.00,29,"11
"
1189,391.00,476.00,10,"31
"
1216,409.00,693.00,7,"44
"
1243,396.00,818.00,6,"53
"
1268,380.00,818.00,6,"55
"
1294,364.00,714.00,6,"51
"
1320,391.00,415.00,12,"27
"
1347,382.00,306.00,32,"10
"
1375,351.00,341.00,26,"12
"
1401,777.00,434.00,46,"7
"
1427,825.00,407.00,52,"6
"
1454,834.00,339.00,63,"5
"
1479,826.00,353.00,60,"5
"
1506,828.00,352.00,61,"5
"
1531,821.00,398.00,53,"6
"
1557,715.00,350.00,53,"6
"
1584,453.00,349.00,33,"10
"
1610,457.00,414.00,28,"11
"
1638,531.00,468.00,29,"11
"
1665,515.00,590.00,11,"29
"
1691,499.00,827.00,7,"43
"
1718,443.00,834.00,6,"48
"
1743,419.00,844.00,6,"52
"
1770,405.00,825.00,6,"52
"
1796,416.00,709.00,7,"44
"
1821,386.00,415.00,12,"27
"
1849,351.00,352.00,12,"26
"
1875,433.00,365.00,30,"10
"
1903,818.00,326.00,65,"5
"
1929,839.00,341.00,63,"5
"
1954,852.00,321.00,69,"4
"
1981,779.00,316.00,64,"5
"
2007,773.00,361.00,55,"6
"
2033,806.00,346.00,60,"5
"
2059,814.00,327.00,64,"5
"
2084,820.00,320.00,66,"5
"
2111,816.00,342.00,62,"5
"
2137,683.00,363.00,48,"6
"
2163,380.00,352.00,28,"12
"
2190,405.00,395.00,26,"12
"
2216,432.00,597.00,9,"35
"
2243,341.00,835.00,5,"63
"
2269,391.00,847.00,6,"56
"
2295,412.00,834.00,6,"52
"
2321,386.00,836.00,6,"56
"
2347,372.00,868.00,5,"60
"
2373,391.00,820.00,6,"54
"
2399,397.00,671.00,7,"43
"
2424,359.00,384.00,12,"27
"
2452,425.00,429.00,12,"26
"
2479,606.00,415.00,37,"8
"
2505,827.00,380.00,56,"5
"
2531,836.00,336.00,64,"5
"
2556,604.00,442.00,35,"9
"
2583,431.00,362.00,30,"10
"
2610,405.00,312.00,33,"10
"
2637,411.00,309.00,34,"9
"
2663,427.00,353.00,31,"10
"
2690,427.00,316.00,35,"9
"
2716,458.00,281.00,42,"7
"
2742,485.00,220.00,57,"5
"
2768,639.00,242.00,68,"4
"
2794,813.00,307.00,68,"4
"
2820,843.00,372.00,58,"5
"
2846,828.00,399.00,53,"6
"
2872,639.00,372.00,44,"7
"
2898,389.00,313.00,32,"10
"
2925,422.00,338.00,32,"10
"
2952,394.00,700.00,7,"46
"
2978,395.00,819.00,6,"53
"
3004,332.00,806.00,5,"63
"
3031,269.00,825.00,4,"79
"
3056,334.00,809.00,5,"62
"
3082,409.00,810.00,6,"51
"
3108,421.00,736.00,7,"45
"
3134,451.00,298.00,39,"8
"
3161,447.00,349.00,33,"10
"
3187,782.00,283.00,71,"4
"
3213,836.00,381.00,57,"5
"
3239,844.00,397.00,55,"6
"
3265,814.00,307.00,68,"4
"
3291,815.00,307.00,69,"4
"
3317,824.00,341.00,62,"5
"
3343,816.00,351.00,60,"5
"
3369,773.00,337.00,59,"5
"
3395,457.00,400.00,29,"11
"
3422,416.00,361.00,29,"11
"
3449,433.00,488.00,11,"29
"
3476,455.00,832.00,7,"47
"
3503,438.00,834.00,6,"49
"
3528,445.00,850.00,6,"49
"
3554,444.00,831.00,6,"48
"
3580,428.00,827.00,6,"50
"
3606,436.00,721.00,7,"42
"
3633,402.00,376.00,27,"12
"
3659,411.00,371.00,28,"11
"
3686,474.00,356.00,34,"9
"
3713,775.00,369.00,54,"6
"
3738,819.00,361.00,58,"5
"
3765,825.00,320.00,67,"5
"
3790,806.00,331.00,63,"5
"
3816,754.00,361.00,54,"6
"
3843,482.00,357.00,35,"9
"
3868,400.00,341.00,30,"11
"
3896,397.00,372.00,27,"12
"
