time,left_val,right_val,leftspeed,rightspeed
0.0019,959.00,925.00,26,"14
"
22,958.00,923.00,26,"14
"
25,956.00,922.00,26,"14
"
32,953.00,918.00,26,"14
"
57,937.00,905.00,26,"14
"
81,921.00,887.00,26,"14
"
107,894.00,852.00,27,"14
"
133,840.00,788.00,27,"14
"
158,653.00,527.00,32,"12
"
185,753.00,384.00,50,"7
"
209,789.00,388.00,52,"7
"
235,826.00,409.00,52,"7
"
260,775.00,402.00,50,"7
"
284,540.00,405.00,34,"11
"
311,503.00,352.00,37,"10
"
336,462.00,401.00,29,"13
"
362,447.00,595.00,9,"34
"
388,490.00,826.00,7,"43
"
412,484.00,812.00,7,"43
"
438,458.00,818.00,7,"46
"
462,446.00,812.00,7,"47
"
487,431.00,814.00,6,"49
"
513,443.00,711.00,8,"41
"
537,421.00,305.00,35,"10
"
564,415.00,305.00,35,"11
"
589,464.00,307.00,39,"9
"
614,673.00,310.00,56,"6
"
640,753.00,265.00,73,"5
"
664,794.00,285.00,72,"5
"
689,781.00,346.00,58,"6
"
714,725.00,357.00,52,"7
"
739,574.00,391.00,38,"10
"
765,427.00,304.00,36,"10
"
791,443.00,337.00,34,"11
"
817,443.00,392.00,29,"13
"
843,414.00,483.00,11,"30
"
869,422.00,667.00,8,"41
"
893,423.00,738.00,7,"45
"
919,415.00,751.00,7,"47
"
944,404.00,583.00,9,"37
"
969,376.00,333.00,29,"13
"
995,334.00,340.00,12,"26
"
1020,448.00,324.00,35,"10
"
1048,739.00,348.00,55,"7
"
1074,808.00,369.00,56,"6
"
1100,813.00,325.00,65,"6
"
1126,791.00,326.00,63,"6
"
1152,815.00,325.00,65,"6
"
1178,839.00,327.00,66,"5
"
1204,774.00,395.00,50,"7
"
1230,582.00,415.00,36,"10
"
1257,453.00,412.00,28,"13
"
1284,473.00,423.00,29,"13
"
1311,459.00,431.00,27,"14
"
1338,491.00,529.00,12,"28
"
1366,492.00,640.00,9,"33
"
1391,484.00,739.00,8,"39
"
1417,501.00,733.00,8,"38
"
1443,463.00,536.00,11,"30
"
1470,483.00,334.00,37,"10
"
1498,458.00,337.00,35,"11
"
1524,476.00,388.00,31,"12
"
1551,501.00,422.00,30,"12
"
1579,502.00,393.00,33,"11
"
1605,523.00,400.00,33,"11
"
1633,525.00,338.00,40,"9
"
1658,482.00,295.00,42,"9
"
1684,487.00,299.00,42,"9
"
1711,440.00,322.00,35,"11
"
1737,397.00,404.00,12,"26
"
1765,374.00,405.00,12,"28
"
1792,403.00,389.00,26,"14
"
1818,395.00,385.00,26,"14
"
1846,409.00,365.00,29,"13
"
1872,418.00,354.00,30,"12
"
1900,434.00,371.00,30,"12
"
1927,447.00,376.00,30,"12
"
1953,459.00,387.00,30,"12
"
1981,464.00,411.00,29,"13
"
2008,478.00,450.00,27,"14
"
2035,446.00,506.00,11,"29
"
2062,447.00,647.00,8,"37
"
2087,443.00,730.00,7,"42
"
2114,429.00,771.00,7,"46
"
2140,417.00,704.00,7,"43
"
2166,463.00,458.00,26,"14
"
2193,441.00,420.00,27,"14
"
2220,509.00,447.00,29,"13
"
2247,531.00,446.00,30,"12
"
2274,549.00,426.00,33,"11
"
2301,568.00,404.00,36,"10
"
2328,502.00,405.00,32,"12
"
2355,530.00,392.00,35,"11
"
2382,454.00,378.00,31,"12
"
2409,413.00,354.00,30,"12
"
2437,398.00,371.00,27,"14
"
2463,390.00,347.00,29,"13
"
2490,369.00,319.00,30,"13
"
2518,412.00,349.00,30,"12
"
2544,427.00,369.00,30,"13
"
2572,423.00,419.00,26,"14
"
2598,428.00,541.00,10,"32
"
2625,461.00,724.00,8,"40
"
2652,467.00,803.00,7,"44
"
2677,463.00,774.00,7,"43
"
2704,416.00,675.00,8,"42
"
2729,434.00,435.00,12,"26
"
2756,429.00,363.00,30,"12
"
2784,454.00,383.00,30,"12
"
2810,447.00,427.00,27,"14
"
2838,556.00,436.00,33,"11
"
2865,639.00,443.00,37,"10
"
2891,710.00,420.00,43,"8
"
2918,674.00,398.00,44,"8
"
2944,594.00,411.00,37,"10
"
2971,520.00,398.00,33,"11
"
2998,505.00,373.00,35,"11
"
3024,504.00,359.00,36,"10
"
3052,504.00,408.00,32,"12
"
3079,494.00,402.00,31,"12
"
3106,473.00,487.00,12,"26
"
3133,464.00,711.00,8,"39
"
3159,444.00,805.00,7,"47
"
3185,412.00,811.00,6,"51
"
3211,410.00,785.00,6,"49
"
3237,451.00,565.00,10,"32
"
3264,419.00,325.00,33,"11
"
3291,450.00,343.00,34,"11
"
3318,434.00,353.00,31,"12
"
3345,707.00,309.00,59,"6
"
3372,799.00,287.00,72,"5
"
3397,780.00,340.00,59,"6
"
3423,737.00,370.00,51,"7
"
3449,537.00,371.00,37,"10
"
3476,457.00,373.00,31,"12
"
3504,426.00,370.00,29,"13
"
3530,390.00,376.00,26,"14
"
3557,410.00,435.00,12,"27
"
3585,427.00,686.00,8,"41
"
3610,454.00,779.00,7,"44
"
3637,460.00,802.00,7,"45
"
3662,477.00,755.00,8,"41
"
3688,484.00,502.00,12,"26
"
3716,451.00,338.00,34,"11
"
3742,470.00,368.00,33,"11
"
3770,486.00,372.00,33,"11
"
3796,515.00,426.00,31,"12
"
3823,541.00,403.00,34,"11
"
3851,526.00,359.00,38,"10
"
3877,479.00,369.00,33,"11
"
3905,382.00,379.00,26,"14
"
3932,318.00,378.00,10,"30
"
